Name	Freq	Confidence
tran van	6513.0	0.9995395948434622
le van	5835.0	0.9897786218883641
van vu	2945.0	0.9996605566870332
bui van	2271.0	0.9991201055873296
do van	2244.0	1.0
duc tran	2002.0	1.0
hong le	1975.0	1.0
thu tran	1975.0	1.0
dinh van	1949.0	1.0
le tran	1933.0	0.999482936918304
duong van	1931.0	1.0
duc le	1909.0	1.0
ha thu	1858.0	1.0
dang van	1854.0	0.9994609164420485
hung van	1847.0	0.9994588744588745
le thu	1778.0	1.0
truong van	1718.0	1.0
phan van	1709.0	1.0
ngo van	1600.0	1.0
le tuan	1546.0	1.0
tuan van	1491.0	1.0
bao tran	1480.0	1.0
tran tuan	1428.0	1.0
linh tran	1427.0	1.0
tran xuan	1395.0	0.9914469460484836
le xuan	1374.0	1.0
ha van	1337.0	1.0
ha le	1300.0	1.0
my tran	1296.0	0.9907976040054619
duc vu	1293.0	1.0
hong tran	1291.0	1.0
dinh tran	1283.0	1.0
thao tran	1272.0	1.0
van vo	1268.0	1.0
doan van	1252.0	1.0
kim tran	1248.0	1.0
le linh	1245.0	1.0
dinh le	1242.0	1.0
le my	1239.0	1.0
hai van	1183.0	1.0
le thao	1164.0	1.0
hung tran	1143.0	1.0
hien thu	1122.0	1.0
ha tran	1113.0	1.0
hai tran	1104.0	1.0
hung le	1099.0	1.0
hai le	1096.0	1.0
huynh van	1088.0	1.0
kim le	1052.0	1.0
tien tran	1040.0	1.0
tran viet	1038.0	1.0
kim ngan	1036.0	1.0
dinh vu	1034.0	1.0
luong van	1029.0	1.0
tien van	1027.0	1.0
le viet	1027.0	1.0
hai yen	1026.0	1.0
duc van	1025.0	1.0
thang van	1025.0	0.9980525803310614
le vu	1017.0	1.0
dao van	1010.0	1.0
nam van	997.0	1.0
tran vu	985.0	0.9979736575481256
tuan vu	982.0	1.0
thao thu	974.0	1.0
dang tran	968.0	1.0
ho van	961.0	1.0
mai van	956.0	1.0
trinh van	949.0	0.9989473684210526
le tien	936.0	0.9989327641408752
bui duc	926.0	1.0
linh my	896.0	1.0
hong vu	887.0	1.0
mai tran	876.0	1.0
le mai	873.0	0.9988558352402745
thu vu	872.0	0.9988545246277205
bao le	865.0	1.0
hang thu	840.0	1.0
linh vu	823.0	1.0
hung viet	811.0	1.0
nam tran	810.0	1.0
dang hai	804.0	1.0
hong van	771.0	1.0
huynh le	764.0	1.0
truong xuan	763.0	1.0
tu van	759.0	1.0
toan van	756.0	1.0
vu xuan	748.0	0.9986648865153538
hien tran	747.0	0.9973297730307076
cong tran	745.0	1.0
dang le	742.0	1.0
cao van	733.0	0.9838059851749004
do duc	732.0	1.0
long van	727.0	1.0
tran tu	721.0	1.0
hoa le	719.0	1.0
tran yen	715.0	1.0
cong le	712.0	1.0
le truong	705.0	1.0
hai vu	702.0	0.9985775248933144
le tu	699.0	0.9957264957264957
hoa van	690.0	1.0
long tran	688.0	1.0
le nam	688.0	1.0
my tra	687.0	1.0
dong van	685.0	1.0
ha vu	676.0	1.0
do thu	675.0	1.0
dieu linh	672.0	1.0
bui thu	669.0	1.0
duong le	668.0	1.0
hoa tran	664.0	1.0
thien tran	653.0	1.0
do xuan	644.0	1.0
duong tran	643.0	1.0
luu van	642.0	1.0
lam van	641.0	1.0
thai van	639.0	1.0
le son	637.0	0.9984326018808778
tien vu	634.0	1.0
hung vu	633.0	1.0
son tran	628.0	1.0
le trong	621.0	0.9983922829581994
an tran	620.0	1.0
bui xuan	619.0	1.0
chi linh	611.0	0.9983660130718954
tran trong	607.0	0.9983552631578947
hien le	606.0	1.0
huynh tran	601.0	1.0
chi le	598.0	1.0
mai xuan	588.0	1.0
le tan	586.0	1.0
chu van	585.0	1.0
dinh tuan	582.0	1.0
ha my	577.0	1.0
le yen	576.0	1.0
thai tran	576.0	1.0
hien van	568.0	1.0
do hong	565.0	1.0
le trinh	564.0	1.0
linh van	563.0	1.0
dang thu	555.0	1.0
le ngan	553.0	1.0
thao van	553.0	1.0
viet vu	551.0	1.0
chi tran	549.0	0.9981818181818182
le long	549.0	1.0
tran vy	547.0	0.9981751824817519
lam tran	543.0	1.0
an le	542.0	0.998158379373849
duc duong	540.0	1.0
thu van	536.0	1.0
dinh duc	530.0	1.0
cong van	525.0	1.0
dang dinh	523.0	1.0
tung van	518.0	1.0
duc thang	518.0	1.0
hang le	517.0	1.0
tran vinh	516.0	0.9980657640232108
lan tran	514.0	1.0
dinh hung	513.0	1.0
chien van	509.0	1.0
dang vu	509.0	1.0
do tuan	509.0	1.0
tan van	505.0	1.0
quan van	502.0	0.9980119284294234
bui linh	500.0	1.0
tran truong	499.0	1.0
phan thu	498.0	1.0
le tung	497.0	0.9979919678714859
thuan van	492.0	1.0
tam van	489.0	1.0
van vinh	489.0	1.0
bui tuan	489.0	1.0
dang hong	488.0	0.9959183673469387
linh mai	488.0	1.0
van viet	488.0	1.0
truong vu	488.0	1.0
tran tuyet	488.0	0.9979550102249489
do linh	488.0	1.0
dang duc	485.0	1.0
the tran	484.0	0.9979381443298969
duc ngo	484.0	1.0
tuong vy	483.0	1.0
dang xuan	482.0	1.0
hong son	482.0	0.9958677685950413
ha viet	481.0	1.0
le thang	481.0	1.0
le thai	480.0	0.997920997920998
ngan tran	480.0	0.995850622406639
bui hong	479.0	1.0
duong vu	478.0	1.0
le thien	478.0	1.0
le phan	477.0	1.0
huynh kim	476.0	1.0
hai nam	475.0	1.0
hong phan	474.0	0.9978947368421053
thang tran	473.0	0.9978902953586498
le vinh	472.0	0.9978858350951374
long vu	471.0	1.0
dinh duong	471.0	1.0
ba le	471.0	1.0
le vy	465.0	1.0
duc viet	463.0	1.0
thu vo	463.0	1.0
duong hai	462.0	1.0
tam tran	460.0	1.0
dang tuan	458.0	1.0
cong dinh	457.0	1.0
dinh truong	454.0	1.0
an van	448.0	0.9977728285077951
tran tung	447.0	1.0
lam le	445.0	1.0
cam tu	443.0	1.0
van vuong	442.0	1.0
thao vu	441.0	1.0
linh phan	441.0	1.0
le tam	439.0	1.0
tan tran	438.0	0.9977220956719818
bui ha	436.0	1.0
ha hong	436.0	0.9977116704805492
gia tran	436.0	1.0
dinh xuan	433.0	1.0
ta van	432.0	1.0
hang tran	432.0	1.0
ngo xuan	431.0	1.0
duong hong	430.0	1.0
ngo thu	430.0	1.0
dinh thu	429.0	1.0
duc truong	427.0	1.0
bao gia	426.0	1.0
hong vo	426.0	1.0
do tien	426.0	1.0
dinh tien	424.0	1.0
ha phan	421.0	0.9976303317535545
dang linh	420.0	1.0
duc hung	418.0	1.0
ly van	418.0	1.0
mai tuyet	417.0	1.0
trinh xuan	415.0	1.0
lan le	414.0	1.0
bui hai	414.0	1.0
do ha	412.0	0.9951690821256038
dang hung	411.0	1.0
do hung	410.0	0.9975669099756691
do viet	409.0	1.0
quan tran	407.0	1.0
toan tran	407.0	1.0
doan le	407.0	1.0
dao xuan	405.0	1.0
son thai	405.0	1.0
ly tran	404.0	1.0
mai vu	403.0	1.0
ha linh	401.0	1.0
duc phan	400.0	1.0
dinh hai	399.0	1.0
huynh my	399.0	1.0
bui tien	399.0	1.0
nam vu	398.0	1.0
bui viet	394.0	1.0
ha hai	393.0	1.0
do hai	393.0	0.9974619289340102
thien van	392.0	1.0
cong truong	390.0	1.0
thao vy	388.0	1.0
le tuyet	386.0	1.0
dang ha	383.0	1.0
duc tuan	382.0	1.0
huynh thu	382.0	1.0
hung xuan	382.0	1.0
tran trinh	381.0	1.0
dinh hong	380.0	1.0
trong vu	380.0	0.9947643979057592
bui dinh	380.0	1.0
dinh do	380.0	1.0
bui hung	378.0	1.0
sang van	376.0	0.9973474801061007
phan tuan	375.0	1.0
kim vo	375.0	1.0
le quan	374.0	1.0
phan tran	374.0	1.0
tran vo	374.0	1.0
le the	373.0	1.0
do le	371.0	1.0
kien van	370.0	1.0
kieu le	370.0	1.0
son vu	369.0	1.0
kim vu	368.0	1.0
kieu tran	368.0	1.0
duc long	367.0	1.0
bui thao	367.0	1.0
le vo	367.0	1.0
duong tuan	366.0	1.0
bui le	365.0	1.0
my truong	365.0	1.0
trieu van	364.0	0.9972602739726028
dao duc	364.0	1.0
tai van	362.0	1.0
cong vu	362.0	1.0
duong xuan	362.0	1.0
son truong	361.0	1.0
dinh ha	359.0	1.0
le ly	359.0	1.0
chung van	357.0	1.0
my phan	357.0	1.0
duong thu	356.0	1.0
hong truong	355.0	0.9943977591036415
doan tran	355.0	1.0
dinh phan	354.0	1.0
do tran	351.0	1.0
tuong vi	349.0	1.0
chau tran	349.0	1.0
duc huynh	348.0	1.0
thu trinh	347.0	1.0
hong ngo	344.0	1.0
bao van	342.0	1.0
le nga	342.0	1.0
huynh tan	342.0	1.0
to van	338.0	1.0
mai thu	336.0	1.0
dinh viet	336.0	1.0
hong mai	335.0	1.0
the vu	334.0	1.0
dai van	333.0	1.0
duc luong	332.0	1.0
dao hong	332.0	0.991044776119403
duong thai	331.0	1.0
doan thu	331.0	1.0
trong van	331.0	1.0
dinh son	330.0	1.0
hong thu	330.0	1.0
duong linh	330.0	1.0
duc trinh	330.0	1.0
bao chau	329.0	0.996969696969697
