Name	Freq	Confidence
nguyen	182978	1.0000
thi	162359	0.9969
hoang	46669	1.0000
thanh	43284	0.9999
ngoc	42388	0.9999
pham	41413	0.9998
anh	37455	0.9974
minh	33380	0.9975
thuy	23240	0.9997
phuong	23013	0.9999
dinh	22855	0.9944
quang	18394	0.9999
linh	15597	0.9928
duy	11714	0.9998
huy	11280	0.9992
trung	11165	0.9996
khanh	11125	0.9996
dung	10940	0.9991
quoc	10798	0.9999
trang	10489	0.9991
huong	10388	0.9996
trang	9705	0.9999
huu	9273	0.9998
manh	8846	0.9997
huyen	8330	1.0000
nhu	7849	0.9997
hieu	7492	0.9989
nhat	7020	1.0000
cuong	6655	0.9997
giang	6572	0.9995
nhi	5539	0.9995
hoai	5525	0.9993
binh	5524	0.9993
phung	5510	0.9993
bich	5352	0.9991
phuc	5139	0.9998
dat	4890	0.9992
hanh	4707	0.9981
uyen	4020	0.9983
nhung	3913	1.0000
phong	3646	0.9986
tuyen	3495	0.9983
phu	3472	0.9986
quyen	3384	0.9991
nhan	3327	0.9991
thuong	3248	0.9982
truc	3112	0.9997
quy	3052	1.0000
duyen	2956	0.9983
nghia	2831	0.9996
phi	2766	0.9982
thinh	2700	0.9996
phuoc	2675	1.0000
hiep	2656	0.9989
khoa	2453	1.0000
oanh	2441	0.9996
nguyet	2407	0.9996
khac	2315	1.0000
loc	2283	0.9983
chinh	2243	0.9982
hoan	2163	0.9959
ninh	1754	1.0000
tinh	1741	0.9971
thuc	1582	0.9981
khoi	1458	0.9993
nghiem	1392	0.9986
phat	1391	0.9950
canh	1298	0.9977
quyet	1279	0.9992
khuong	1142	0.9956
dac	1135	0.9930
nha	941	1.0000
kiet	905	0.9912
sinh	900	0.9978
nghi	891	1.0000
nhut	809	1.0000
luyen	789	0.9975
khiem	579	0.9966
xuyen	553	0.9928
tiep	517	0.9942
khue	486	0.9959
doanh	465	0.9979
nham	437	0.9932
tuoi	432	1.0000
thoai	406	0.9975
khuyen	399	0.9975
chuyen	399	1.0000
nho	391	0.9974
hoc	374	0.9920
ngoan	358	0.9944
nhien	338	1.0000
muoi	322	1.0000
duoc	264	0.9962
nghiep	251	0.9960
nuong	238	1.0000
kinh	227	0.9913
nguy	215	1.0000
nhuan	211	1.0000
that	211	0.9906
phap	210	1.0000
nhon	207	1.0000
thuyet	190	1.0000
hoanh	181	1.0000
duyet	157	1.0000
nhuong	151	1.0000
nhai	124	1.0000
kbuor	121	1
tran van	6513	0.9995
le van	5835	0.9898
van vu	2945	0.9997
bui van	2271	0.9991
do van	2244	1.0000
duc tran	2002	1.0000
hong le	1975	1.0000
thu tran	1975	1.0000
dinh van	1949	1.0000
le tran	1933	0.9995
duong van	1931	1.0000
duc le	1909	1.0000
ha thu	1858	1.0000
dang van	1854	0.9995
hung van	1847	0.9995
le thu	1778	1.0000
truong van	1718	1.0000
phan van	1709	1.0000
ngo van	1600	1.0000
le tuan	1546	1.0000
tuan van	1491	1.0000
bao tran	1480	1.0000
tran tuan	1428	1.0000
linh tran	1427	1.0000
tran xuan	1395	0.9914
le xuan	1374	1.0000
ha van	1337	1.0000
ha le	1300	1.0000
my tran	1296	0.9908
duc vu	1293	1.0000
hong tran	1291	1.0000
dinh tran	1283	1.0000
thao tran	1272	1.0000
van vo	1268	1.0000
doan van	1252	1.0000
kim tran	1248	1.0000
le linh	1245	1.0000
dinh le	1242	1.0000
le my	1239	1.0000
